appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
371700,Hypership Out of Control 2,2019-01-09,1,Fun Infused Games,Fun Infused Games,windows,0,Single-player;Steam Achievements;Full controller support;Steam Leaderboards,Action;Casual;Indie;Racing,Action;Indie;Casual,11,2,0,0,0,0-20000,3.99
351490,Intergalactic Bubbles,2015-05-29,1,Hellscape Games,Hellscape Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie,Casual;Indie;Puzzle,10,909,213,443,621,200000-500000,0.79
436850,Stellar Stars,2016-11-10,1,WhiteSponge,WhiteSponge,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Cloud,Action;RPG;Strategy,Action;Strategy;RPG,19,3,3,0,0,0-20000,6.99
273620,Freespace 2,2014-06-06,1,Volition Inc,Interplay Corp,windows,0,Single-player;Multi-player,Action,Space;Sci-fi;Masterpiece,0,162,61,0,0,20000-50000,6.99
807840,Fuse Balls,2018-03-08,1,Dilmer Valecillos,Dilmer Games,windows;mac,0,Single-player;Steam Achievements;Steam Leaderboards,Casual;Indie,Indie;Casual,10,4,2,0,0,0-20000,2.09
694490,Quad Hopping,2017-08-23,1,LillyWelland inc.,Bitlock Studio,windows;mac;linux,0,Single-player;Steam Achievements,Adventure;Casual;Indie,Indie;Casual;Adventure,36,23,30,0,0,0-20000,0.79
485920,Neon Warp,2016-07-29,1,Axel Sonic,Axel Sonic,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Casual;Indie,Casual;Indie;Action,14,36,5,0,0,0-20000,1.59
3330,Zuma Deluxe,2006-08-30,1,"PopCap Games, Inc.","PopCap Games, Inc.",windows;mac,0,Single-player,Casual,Casual;Match 3;Puzzle,0,437,37,267,267,100000-200000,4.25
1057710,Funny Bunny: Adventures,2019-04-24,1,mPower Games Studio,mPower Games Studio,windows;mac;linux,0,Single-player;Steam Achievements,Action;Adventure;Casual;Indie,Casual;Adventure;Arcade,22,3,0,0,0,0-20000,7.19
778420,JAILBREAK,2018-01-18,1,IndieLip,IndieLip,windows,0,Single-player,Adventure;Casual;Indie;Simulation,Adventure;Indie;Casual,0,17,29,1,1,50000-100000,2.89
898590,Margonem,2019-02-20,1,Garmory,Garmory,windows,0,Multi-player;Online Multi-Player;MMO;Online Co-op;In-App Purchases,Free to Play;Massively Multiplayer;RPG,Free to Play;Massively Multiplayer;RPG,0,49,42,0,0,20000-50000,0.0
882220,Mecha-Tokyo Rush,2018-07-13,1,Giant Evil Robot,Giant Evil Robot,windows,0,Single-player;Full controller support,Action;Free to Play;Indie,Free to Play;Action;Indie,0,51,14,0,0,0-20000,0.0
453780,Secrets of Magic: The Book of Spells,2016-10-20,1,Green Sauce Games,Green Sauce Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie,Casual;Indie;Match 3,36,25,1,0,0,0-20000,6.99
391210,Arclight Cascade,2015-08-25,1,Hexdragonal Games,Hexdragonal Games,windows;mac,0,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Stats;Steam Leaderboards,Action;Indie,Action;Indie;4 Player Local,23,25,5,0,0,0-20000,0.0
866540,VR Flush,2018-06-20,1,Brudingo Team,Brudingo Team,windows,0,Single-player;Steam Achievements,Adventure;Free to Play;Indie;RPG,Free to Play;Adventure;Indie,5,282,16,0,0,50000-100000,0.0
465180,One Day in London,2016-08-10,1,Owl Studio,Owl Studio,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie,Visual Novel;Indie;Adventure,107,70,5,0,0,0-20000,6.99
940130,Red and Blue ~ Cycles of Existence,2018-09-25,1,Mia Blais-Côté,Mia Blais-Côté,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Casual;Indie,Indie;Casual;Nudity,2,36,10,0,0,0-20000,0.8
625830,BattleSky VR,2018-01-19,1,Oh!WHATif Inc.,Oh!WHATif Inc.,windows,0,Single-player;Multi-player;Online Multi-Player;Co-op,Action;Indie;Early Access,Early Access;Action;Indie,0,23,1,0,0,0-20000,10.29
6090,Armed and Dangerous®,2009-07-08,1,Planet Moon Studios,LucasArts;Lucasfilm;Disney Interactive,windows,0,Single-player;Steam Cloud,Action,Action;Comedy;Third-Person Shooter,0,115,18,100,100,20000-50000,4.79
303260,TRISTOY,2015-01-15,1,Uniworlds Game Studios,Headup Games,windows,0,Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud;Stats,Action;Adventure;Indie,Action;Indie;Adventure,25,54,52,0,0,20000-50000,4.99
333540,Neocolonialism,2014-12-01,1,"Subaltern Games, LLC","Subaltern Games, LLC",windows;mac;linux,0,Single-player;Multi-player,Indie;Simulation;Strategy,Strategy;Indie;Simulation,0,19,15,42,83,0-20000,2.09
475240,ORCS,2016-05-20,1,Pixel vs Pixel,Pixel vs Pixel,windows,0,Single-player;Full controller support;Steam Trading Cards,Action;Adventure;Indie,Indie;Adventure;Action,0,260,48,0,0,20000-50000,1.69
1018810,Drumpfy Walls,2019-04-19,1,Hotbox Garage,Hotbox Garage,windows,18,Single-player;Steam Achievements;Partial Controller Support,Action;Casual;Indie;Sports,Action;Indie;Casual,5,3,0,0,0,0-20000,3.99
289480,The Tomorrow War,2014-04-03,1,CrioLand,1C Entertainment,windows,0,Single-player;Steam Trading Cards;Steam Cloud,Action;Adventure;Simulation,Simulation;Action;Adventure,0,35,41,0,0,20000-50000,1.99
439530,Rock-N-Rogue: A Boo Bunny Plague Adventure,2017-01-19,1,On the Level Game Studios,On the Level Game Studios,windows,0,Single-player;Steam Trading Cards;Partial Controller Support,Action;Adventure;Indie,Action;Adventure;Indie,14,8,6,0,0,0-20000,2.09
720250,Welcome to the Game II,2018-04-03,1,Reflect Studios,Reflect Studios,windows;mac,18,Single-player;Steam Achievements,Sexual Content;Nudity;Violent;Indie;Simulation;Strategy,Horror;Strategy;Hacking,27,622,143,139,143,20000-50000,7.19
380210,Signal to Noise,2015-11-20,1,Solanimus Inc.,Solanimus Inc.,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards,Action;Indie,Indie;Action;Music,12,12,11,0,0,0-20000,3.99
851040,Darkest Mana : Master of the Table,2018-05-31,1,IKINA GAMES,IKINA GAMES,windows,0,Single-player;Online Multi-Player,Indie;Strategy,Indie;Strategy;VR,0,1,1,0,0,0-20000,7.19
579940,Race for the Galaxy,2017-06-27,1,Temple Gates Games,Temple Gates Games,windows,0,Single-player;Online Multi-Player;Cross-Platform Multiplayer;In-App Purchases,Strategy,Strategy;Board Game;Card Game,0,72,18,0,0,20000-50000,6.99
464900,Pitfall Planet,2016-05-02,1,Bonfire Games,adamgryu,windows;mac,0,Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,Adventure;Casual;Indie,Casual;Adventure;Indie,38,33,0,0,0,0-20000,7.19
860910,Hentai 3018,2018-05-31,1,Easy game,Game for people,windows,0,Single-player;Steam Achievements,Action;Casual;Indie,Indie;Action;Casual,3452,131,50,86,86,20000-50000,0.79
431560,Hard Room,2016-01-21,1,Evgeny Shcherbakov;Denis Ovsyannikov,Atriagames,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Indie,Indie;Action;Platformer,11,275,120,242,250,200000-500000,1.99
833400,Corral,2018-09-26,1,The Sherrinford,The Sherrinford,windows,0,Single-player,Simulation,Simulation;Relaxing;Family Friendly,0,13,6,0,0,0-20000,7.19
522700,The Final Days: I'm Still Alive,2016-09-02,1,Kipsaim(Mike) Delgado,Kipsaim(Mike) Delgado,windows,0,Single-player,Violent;Indie,Indie;Violent;Horror,0,5,3,0,0,0-20000,3.99
232090,Killing Floor 2,2016-11-18,1,Tripwire Interactive,Tripwire Interactive,windows,18,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Includes level editor,Action,Zombies;Co-op;Gore,257,60917,8354,2967,957,2000000-5000000,19.99
281940,Woolfe - The Red Hood Diaries,2015-03-17,1,GRIN,Rebellion,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie,Action;Female Protagonist;Indie,20,736,504,0,0,100000-200000,6.99
